.imp,age,race_ethn,year,var,pop
1,0,AI/AN,2003,899,59984
1,0,AI/AN,2004,1030,61748
1,0,AI/AN,2005,1307,64831
1,0,AI/AN,2006,1283,67569
1,0,AI/AN,2007,1374,73439
1,0,AI/AN,2008,1319,77636
1,0,AI/AN,2009,1108,77503
1,0,AI/AN,2010,1164,77301
1,0,AI/AN,2011,1240,75655
1,0,AI/AN,2012,1311,77374
1,0,AI/AN,2013,1472,76341
1,0,AI/AN,2014,1558,76985
1,0,AI/AN,2015,1651,76606
1,0,AI/AN,2016,1704,76508
1,0,AI/AN,2017,1169,76351
1,0,Asian/PI,2003,348,205463
1,0,Asian/PI,2004,371,211877
1,0,Asian/PI,2005,452,216526
1,0,Asian/PI,2006,465,217976
1,0,Asian/PI,2007,498,228248
1,0,Asian/PI,2008,552,237317
1,0,Asian/PI,2009,495,230615
1,0,Asian/PI,2010,452,225912
1,0,Asian/PI,2011,517,220381
1,0,Asian/PI,2012,491,227262
1,0,Asian/PI,2013,486,239465
1,0,Asian/PI,2014,574,239770
1,0,Asian/PI,2015,730,250980
1,0,Asian/PI,2016,653,246177
1,0,Asian/PI,2017,397,247551
1,0,Black,2003,6709,619402
1,0,Black,2004,7373,631136
1,0,Black,2005,7989,647278
1,0,Black,2006,8444,663764
1,0,Black,2007,9535,695745
1,0,Black,2008,9847,696946
1,0,Black,2009,9715,683772
1,0,Black,2010,9789,670157
1,0,Black,2011,9474,670857
1,0,Black,2012,9749,669168
1,0,Black,2013,10074,671681
1,0,Black,2014,10729,678361
1,0,Black,2015,11506,682683
1,0,Black,2016,11595,678432
1,0,Black,2017,8098,676082
1,0,Hispanic,2003,4484,840045
1,0,Hispanic,2004,5293,858324
1,0,Hispanic,2005,6337,873526
1,0,Hispanic,2006,6711,902397
1,0,Hispanic,2007,6658,941626
1,0,Hispanic,2008,5876,938820
1,0,Hispanic,2009,6635,905476
1,0,Hispanic,2010,6691,896006
1,0,Hispanic,2011,6691,913501
1,0,Hispanic,2012,7055,884943
1,0,Hispanic,2013,7249,880677
1,0,Hispanic,2014,7358,885824
1,0,Hispanic,2015,6704,900227
1,0,Hispanic,2016,7204,907133
1,0,Hispanic,2017,4968,899600
1,0,White,2003,9187,2250977
1,0,White,2004,10748,2251173
1,0,White,2005,12715,2202232
1,0,White,2006,12553,2190032
1,0,White,2007,12986,2208939
1,0,White,2008,12905,2182016
1,0,White,2009,12214,2106221
1,0,White,2010,12946,2082078
1,0,White,2011,13080,2082577
1,0,White,2012,14566,2067739
1,0,White,2013,15976,2063044
1,0,White,2014,17199,2073785
1,0,White,2015,18487,2073798
1,0,White,2016,19172,2047127
1,0,White,2017,13626,2039711
1,1,AI/AN,2003,402,57898
1,1,AI/AN,2004,472,59956
1,1,AI/AN,2005,599,61659
1,1,AI/AN,2006,572,64676
1,1,AI/AN,2007,609,67204
1,1,AI/AN,2008,616,73041
1,1,AI/AN,2009,568,77079
1,1,AI/AN,2010,610,76991
1,1,AI/AN,2011,587,77368
1,1,AI/AN,2012,611,75665
1,1,AI/AN,2013,655,77434
1,1,AI/AN,2014,690,76355
1,1,AI/AN,2015,710,76991
1,1,AI/AN,2016,689,76634
1,1,AI/AN,2017,504,76541
1,1,Asian/PI,2003,146,198411
1,1,Asian/PI,2004,166,208507
1,1,Asian/PI,2005,189,214483
1,1,Asian/PI,2006,184,218615
1,1,Asian/PI,2007,223,218762
1,1,Asian/PI,2008,229,227919
1,1,Asian/PI,2009,187,235500
1,1,Asian/PI,2010,180,229007
1,1,Asian/PI,2011,186,233351
1,1,Asian/PI,2012,187,227844
1,1,Asian/PI,2013,194,235354
1,1,Asian/PI,2014,193,248048
1,1,Asian/PI,2015,250,248684
1,1,Asian/PI,2016,241,260339
1,1,Asian/PI,2017,140,255569
1,1,Black,2003,2451,624188
1,1,Black,2004,2667,617670
1,1,Black,2005,3184,629728
1,1,Black,2006,3306,644995
1,1,Black,2007,3606,661120
1,1,Black,2008,3930,692675
1,1,Black,2009,3947,693755
1,1,Black,2010,4010,674894
1,1,Black,2011,3963,671498
1,1,Black,2012,3871,672414
1,1,Black,2013,4259,671155
1,1,Black,2014,4553,673882
1,1,Black,2015,4815,680660
1,1,Black,2016,4747,685141
1,1,Black,2017,3577,680943
1,1,Hispanic,2003,1902,818346
1,1,Hispanic,2004,2300,833685
1,1,Hispanic,2005,2752,849671
1,1,Hispanic,2006,2928,862369
1,1,Hispanic,2007,2907,887759
1,1,Hispanic,2008,2662,923309
1,1,Hispanic,2009,3098,917596
1,1,Hispanic,2010,3262,883140
1,1,Hispanic,2011,3049,900683
1,1,Hispanic,2012,3123,917561
1,1,Hispanic,2013,3112,889390
1,1,Hispanic,2014,3228,885591
1,1,Hispanic,2015,2750,891119
1,1,Hispanic,2016,2952,905863
1,1,Hispanic,2017,2125,912725
1,1,White,2003,4384,2237296
1,1,White,2004,5131,2233245
1,1,White,2005,5792,2231740
1,1,White,2006,5709,2181469
1,1,White,2007,5763,2167370
1,1,White,2008,6092,2183812
1,1,White,2009,6083,2154867
1,1,White,2010,6413,2093663
1,1,White,2011,6561,2083156
1,1,White,2012,6669,2083780
1,1,White,2013,6988,2069108
1,1,White,2014,7406,2064813
1,1,White,2015,8087,2075735
1,1,White,2016,8162,2076040
1,1,White,2017,5913,2049474
1,2,AI/AN,2003,345,58429
1,2,AI/AN,2004,391,58962
1,2,AI/AN,2005,507,61418
1,2,AI/AN,2006,459,63530
1,2,AI/AN,2007,492,66997
1,2,AI/AN,2008,515,70104
1,2,AI/AN,2009,467,76699
1,2,AI/AN,2010,505,79441
1,2,AI/AN,2011,540,76925
1,2,AI/AN,2012,559,77350
1,2,AI/AN,2013,539,75655
1,2,AI/AN,2014,581,77443
1,2,AI/AN,2015,596,76335
1,2,AI/AN,2016,634,77049
1,2,AI/AN,2017,444,76721
1,2,Asian/PI,2003,112,203755
1,2,Asian/PI,2004,138,202566
1,2,Asian/PI,2005,162,212975
1,2,Asian/PI,2006,167,219434
1,2,Asian/PI,2007,163,223316
1,2,Asian/PI,2008,190,223537
1,2,Asian/PI,2009,148,232691
1,2,Asian/PI,2010,157,240801
1,2,Asian/PI,2011,160,235411
1,2,Asian/PI,2012,192,239737
1,2,Asian/PI,2013,174,234653
1,2,Asian/PI,2014,179,242736
1,2,Asian/PI,2015,192,255882
1,2,Asian/PI,2016,197,256629
1,2,Asian/PI,2017,145,268296
1,2,Black,2003,2112,641079
1,2,Black,2004,2328,623792
