.imp,age,race_ethn,year,var,pop
0,0,AI/AN,2001,1,57488
0,0,AI/AN,2002,246,57852
0,0,AI/AN,2003,753,59984
0,0,AI/AN,2004,855,61748
0,0,AI/AN,2005,1054,64831
0,0,AI/AN,2006,1003,67569
0,0,AI/AN,2007,1054,73439
0,0,AI/AN,2008,991,77636
0,0,AI/AN,2009,827,77503
0,0,AI/AN,2010,942,77301
0,0,AI/AN,2011,981,75655
0,0,AI/AN,2012,1062,77374
0,0,AI/AN,2013,1203,76341
0,0,AI/AN,2014,1224,76985
0,0,AI/AN,2015,1291,76606
0,0,AI/AN,2016,1389,76508
0,0,AI/AN,2017,951,76351
0,0,Asian/PI,2001,2,194002
0,0,Asian/PI,2002,68,194035
0,0,Asian/PI,2003,280,205463
0,0,Asian/PI,2004,319,211877
0,0,Asian/PI,2005,372,216526
0,0,Asian/PI,2006,384,217976
0,0,Asian/PI,2007,372,228248
0,0,Asian/PI,2008,331,237317
0,0,Asian/PI,2009,351,230615
0,0,Asian/PI,2010,333,225912
0,0,Asian/PI,2011,350,220381
0,0,Asian/PI,2012,336,227262
0,0,Asian/PI,2013,361,239465
0,0,Asian/PI,2014,413,239770
0,0,Asian/PI,2015,443,250980
0,0,Asian/PI,2016,404,246177
0,0,Asian/PI,2017,265,247551
0,0,Black,2001,16,643336
0,0,Black,2002,1963,625877
0,0,Black,2003,5984,619402
0,0,Black,2004,6564,631136
0,0,Black,2005,6981,647278
0,0,Black,2006,7067,663764
0,0,Black,2007,7864,695745
0,0,Black,2008,7906,696946
0,0,Black,2009,7791,683772
0,0,Black,2010,7890,670157
0,0,Black,2011,7420,670857
0,0,Black,2012,7752,669168
0,0,Black,2013,8017,671681
0,0,Black,2014,8802,678361
0,0,Black,2015,9435,682683
0,0,Black,2016,9612,678432
0,0,Black,2017,6524,676082
0,0,Hispanic,2001,6,801488
0,0,Hispanic,2002,1107,820888
0,0,Hispanic,2003,3934,840045
0,0,Hispanic,2004,4534,858324
0,0,Hispanic,2005,5342,873526
0,0,Hispanic,2006,5527,902397
0,0,Hispanic,2007,5180,941626
0,0,Hispanic,2008,3867,938820
