.imp,age,race_ethn,year,var,pop
0,0,AI/AN,2000,1627,54763
0,0,AI/AN,2001,1480,57488
0,0,AI/AN,2002,1425,57852
0,0,AI/AN,2003,1478,59984
0,0,AI/AN,2004,1672,61748
0,0,AI/AN,2005,1904,64831
0,0,AI/AN,2006,1832,67569
0,0,AI/AN,2007,1798,73439
0,0,AI/AN,2008,1642,77636
0,0,AI/AN,2009,1468,77503
0,0,AI/AN,2010,1568,77301
0,0,AI/AN,2011,1634,75655
0,0,AI/AN,2012,1713,77374
0,0,AI/AN,2013,1863,76341
0,0,AI/AN,2014,1936,76985
0,0,AI/AN,2015,2076,76606
0,0,AI/AN,2016,2152,76508
0,0,AI/AN,2017,1671,76351
0,0,Asian/PI,2000,810,172927
0,0,Asian/PI,2001,928,194002
0,0,Asian/PI,2002,823,194035
0,0,Asian/PI,2003,778,205463
0,0,Asian/PI,2004,783,211877
0,0,Asian/PI,2005,865,216526
0,0,Asian/PI,2006,776,217976
0,0,Asian/PI,2007,712,228248
0,0,Asian/PI,2008,634,237317
0,0,Asian/PI,2009,659,230615
0,0,Asian/PI,2010,581,225912
0,0,Asian/PI,2011,575,220381
0,0,Asian/PI,2012,566,227262
0,0,Asian/PI,2013,594,239465
0,0,Asian/PI,2014,672,239770
0,0,Asian/PI,2015,735,250980
0,0,Asian/PI,2016,687,246177
0,0,Asian/PI,2017,527,247551
0,0,Black,2000,20763,622417
0,0,Black,2001,18664,643336
0,0,Black,2002,16709,625877
0,0,Black,2003,16108,619402
0,0,Black,2004,15737,631136
0,0,Black,2005,16279,647278
0,0,Black,2006,16685,663764
0,0,Black,2007,15902,695745
0,0,Black,2008,14965,696946
0,0,Black,2009,13645,683772
0,0,Black,2010,13202,670157
0,0,Black,2011,11871,670857
0,0,Black,2012,11676,669168
0,0,Black,2013,11882,671681
0,0,Black,2014,12574,678361
0,0,Black,2015,13260,682683
0,0,Black,2016,13571,678432
0,0,Black,2017,10196,676082
0,0,Hispanic,2000,8966,727586
0,0,Hispanic,2001,8569,801488
0,0,Hispanic,2002,7370,820888
0,0,Hispanic,2003,7437,840045
0,0,Hispanic,2004,7920,858324
0,0,Hispanic,2005,8779,873526
0,0,Hispanic,2006,9379,902397
0,0,Hispanic,2007,8542,941626
0,0,Hispanic,2008,6521,938820
0,0,Hispanic,2009,7669,905476
0,0,Hispanic,2010,7457,896006
0,0,Hispanic,2011,7016,913501
0,0,Hispanic,2012,7171,884943
0,0,Hispanic,2013,7507,880677
0,0,Hispanic,2014,7302,885824
0,0,Hispanic,2015,5678,900227
0,0,Hispanic,2016,6467,907133
0,0,Hispanic,2017,5341,899600
0,0,White,2000,20487,2278263
0,0,White,2001,18936,2316344
0,0,White,2002,17841,2252809
0,0,White,2003,18256,2250977
0,0,White,2004,19804,2251173
0,0,White,2005,21520,2202232
0,0,White,2006,21476,2190032
0,0,White,2007,20882,2208939
0,0,White,2008,18636,2182016
0,0,White,2009,16884,2106221
0,0,White,2010,17019,2082078
0,0,White,2011,16561,2082577
0,0,White,2012,17452,2067739
0,0,White,2013,19019,2063044
0,0,White,2014,19884,2073785
0,0,White,2015,20992,2073798
0,0,White,2016,21938,2047127
0,0,White,2017,17003,2039711
0,0,NA,2000,2343,NA
0,0,NA,2001,2130,NA
0,0,NA,2002,1767,NA
0,0,NA,2003,1696,NA
0,0,NA,2004,1591,NA
0,0,NA,2005,1832,NA
0,0,NA,2006,1988,NA
0,0,NA,2007,2618,NA
0,0,NA,2008,3688,NA
0,0,NA,2009,2543,NA
0,0,NA,2010,2529,NA
0,0,NA,2011,2980,NA
0,0,NA,2012,3047,NA
0,0,NA,2013,2869,NA
0,0,NA,2014,3518,NA
0,0,NA,2015,5250,NA
0,0,NA,2016,4550,NA
0,0,NA,2017,2650,NA
0,1,AI/AN,2000,721,53810
0,1,AI/AN,2001,651,55012
0,1,AI/AN,2002,614,57596
0,1,AI/AN,2003,667,57898
0,1,AI/AN,2004,724,59956
0,1,AI/AN,2005,822,61659
0,1,AI/AN,2006,751,64676
0,1,AI/AN,2007,777,67204
0,1,AI/AN,2008,761,73041
0,1,AI/AN,2009,702,77079
0,1,AI/AN,2010,720,76991
0,1,AI/AN,2011,732,77368
0,1,AI/AN,2012,714,75665
0,1,AI/AN,2013,791,77434
0,1,AI/AN,2014,821,76355
0,1,AI/AN,2015,822,76991
0,1,AI/AN,2016,806,76634
0,1,AI/AN,2017,638,76541
0,1,Asian/PI,2000,300,168016
0,1,Asian/PI,2001,310,179316
0,1,Asian/PI,2002,293,199452
