.imp,age,race_ethn,year,var,pop
1,0,AI/AN,2000,1323,54763
1,0,AI/AN,2001,1319,57488
1,0,AI/AN,2002,1229,57852
1,0,AI/AN,2003,1298,59984
1,0,AI/AN,2004,1416,61748
1,0,AI/AN,2005,1662,64831
1,0,AI/AN,2006,1624,67569
1,0,AI/AN,2007,1639,73439
1,0,AI/AN,2008,1466,77636
1,0,AI/AN,2009,1357,77503
1,0,AI/AN,2010,1402,77301
1,0,AI/AN,2011,1378,75655
1,0,AI/AN,2012,1431,77374
1,0,AI/AN,2013,1553,76341
1,0,AI/AN,2014,1638,76985
1,0,AI/AN,2015,1632,76606
1,0,AI/AN,2016,1446,76508
1,0,AI/AN,2017,873,76351
1,1,AI/AN,2000,574,53810
1,1,AI/AN,2001,551,55012
1,1,AI/AN,2002,530,57596
1,1,AI/AN,2003,564,57898
1,1,AI/AN,2004,650,59956
1,1,AI/AN,2005,692,61659
1,1,AI/AN,2006,644,64676
1,1,AI/AN,2007,719,67204
1,1,AI/AN,2008,687,73041
1,1,AI/AN,2009,629,77079
1,1,AI/AN,2010,654,76991
1,1,AI/AN,2011,640,77368
1,1,AI/AN,2012,599,75665
1,1,AI/AN,2013,648,77434
1,1,AI/AN,2014,679,76355
1,1,AI/AN,2015,657,76991
1,1,AI/AN,2016,541,76634
1,1,AI/AN,2017,308,76541
1,2,AI/AN,2000,516,53107
1,2,AI/AN,2001,509,54175
1,2,AI/AN,2002,515,55604
1,2,AI/AN,2003,531,58429
1,2,AI/AN,2004,524,58962
1,2,AI/AN,2005,630,61418
1,2,AI/AN,2006,541,63530
1,2,AI/AN,2007,548,66997
1,2,AI/AN,2008,566,70104
1,2,AI/AN,2009,524,76699
1,2,AI/AN,2010,551,79441
1,2,AI/AN,2011,569,76925
1,2,AI/AN,2012,558,77350
1,2,AI/AN,2013,512,75655
1,2,AI/AN,2014,555,77443
1,2,AI/AN,2015,536,76335
1,2,AI/AN,2016,508,77049
1,2,AI/AN,2017,265,76721
1,3,AI/AN,2000,444,53012
1,3,AI/AN,2001,417,53726
1,3,AI/AN,2002,449,55053
1,3,AI/AN,2003,419,56839
1,3,AI/AN,2004,484,59991
1,3,AI/AN,2005,542,60819
1,3,AI/AN,2006,451,63933
1,3,AI/AN,2007,481,66441
1,3,AI/AN,2008,454,70622
1,3,AI/AN,2009,411,74356
1,3,AI/AN,2010,462,80027
1,3,AI/AN,2011,514,79376
1,3,AI/AN,2012,509,76895
1,3,AI/AN,2013,495,77324
1,3,AI/AN,2014,488,75718
1,3,AI/AN,2015,469,77462
1,3,AI/AN,2016,389,76421
1,3,AI/AN,2017,243,77112
1,4,AI/AN,2000,398,54035
1,4,AI/AN,2001,404,53798
1,4,AI/AN,2002,411,54742
1,4,AI/AN,2003,373,56395
1,4,AI/AN,2004,446,58604
1,4,AI/AN,2005,502,62141
1,4,AI/AN,2006,411,63454
1,4,AI/AN,2007,429,67107
1,4,AI/AN,2008,390,70217
1,4,AI/AN,2009,349,75092
1,4,AI/AN,2010,362,78341
1,4,AI/AN,2011,432,79990
1,4,AI/AN,2012,421,79340
1,4,AI/AN,2013,464,76882
1,4,AI/AN,2014,399,77268
1,4,AI/AN,2015,444,75847
1,4,AI/AN,2016,380,77503
1,4,AI/AN,2017,185,76452
1,5,AI/AN,2000,342,54547
1,5,AI/AN,2001,392,54881
1,5,AI/AN,2002,354,54840
1,5,AI/AN,2003,344,56018
1,5,AI/AN,2004,376,57885
1,5,AI/AN,2005,398,60442
1,5,AI/AN,2006,379,64353
