.imp,age,race_ethn,year,var,pop
1,0,AI/AN,2000,532,54763
1,0,AI/AN,2001,572,57488
1,0,AI/AN,2002,579,57852
1,0,AI/AN,2003,656,59984
1,0,AI/AN,2004,741,61748
1,0,AI/AN,2005,876,64831
1,0,AI/AN,2006,846,67569
1,0,AI/AN,2007,777,73439
1,0,AI/AN,2008,794,77636
1,0,AI/AN,2009,747,77503
1,0,AI/AN,2010,792,77301
1,0,AI/AN,2011,820,75655
1,0,AI/AN,2012,841,77374
1,0,AI/AN,2013,945,76341
1,0,AI/AN,2014,966,76985
1,0,AI/AN,2015,877,76606
1,0,AI/AN,2016,812,76508
1,0,AI/AN,2017,348,76351
1,0,AI/AN,2018,27,NA
1,0,Asian/PI,2000,327,172927
1,0,Asian/PI,2001,365,194002
1,0,Asian/PI,2002,389,194035
1,0,Asian/PI,2003,410,205463
1,0,Asian/PI,2004,414,211877
1,0,Asian/PI,2005,449,216526
1,0,Asian/PI,2006,373,217976
1,0,Asian/PI,2007,366,228248
1,0,Asian/PI,2008,316,237317
1,0,Asian/PI,2009,306,230615
1,0,Asian/PI,2010,279,225912
1,0,Asian/PI,2011,289,220381
1,0,Asian/PI,2012,266,227262
1,0,Asian/PI,2013,321,239465
1,0,Asian/PI,2014,341,239770
1,0,Asian/PI,2015,351,250980
1,0,Asian/PI,2016,285,246177
1,0,Asian/PI,2017,133,247551
1,0,Asian/PI,2018,13,NA
1,0,Black,2000,7967,622417
1,0,Black,2001,8019,643336
1,0,Black,2002,7822,625877
1,0,Black,2003,7731,619402
1,0,Black,2004,7631,631136
1,0,Black,2005,7945,647278
1,0,Black,2006,8354,663764
1,0,Black,2007,7816,695745
1,0,Black,2008,7357,696946
1,0,Black,2009,6613,683772
1,0,Black,2010,6334,670157
1,0,Black,2011,5985,670857
1,0,Black,2012,6111,669168
1,0,Black,2013,6259,671681
1,0,Black,2014,6322,678361
1,0,Black,2015,6161,682683
1,0,Black,2016,4948,678432
1,0,Black,2017,2267,676082
1,0,Black,2018,186,NA
1,0,Hispanic,2000,2842,727586
1,0,Hispanic,2001,2905,801488
1,0,Hispanic,2002,3157,820888
1,0,Hispanic,2003,3460,840045
1,0,Hispanic,2004,3838,858324
1,0,Hispanic,2005,4226,873526
1,0,Hispanic,2006,4256,902397
1,0,Hispanic,2007,4010,941626
