state,race_ethn,investigation,substantiation,fc,tpr
AK,AIAN,0.7992201638951532,0.30460159680251214,0.19679446374036733,0.02674449703025926
AK,White,0.2797852732629923,0.07316166699560972,0.054279008470201964,0.01226315683245105
AL,AIAN,0.05470050034083129,0.014763249939387393,0.008747947337590267,3.060350104051868e-5
AL,White,0.3611698133297534,0.12711369352936022,0.05220120025247248,0.005926037866319928
AR,AIAN,0.31771992831989015,0.0803057910754867,0.05377969853184915,0.012489600879025842
AR,White,0.697140903565713,0.1763512855348976,0.08294313048457574,0.014649935790322074
AZ,AIAN,0.3603819762310675,0.07750765261546914,0.08306550460581032,0.01701860604886478
AZ,White,0.46745731207519675,0.0934438078090591,0.09617069643653675,0.027467365134712957
CA,AIAN,0.19849973008810845,0.0644023370256669,0.05670536092584648,0.009924087391951164
CA,White,0.33731535517488753,0.08249903208930365,0.04364360143142128,0.008348973856927053
CO,AIAN,0.14997934685243525,0.047231258465483164,0.0337779020432908,0.0030994719840877483
CO,White,0.31973147640017996,0.08973973740186832,0.04067161921182978,0.004984230074395926
CT,AIAN,0.10906884803193602,0.038464541676343056,0.019411187200249855,9.136319655062564e-4
CT,White,0.24099959579612273,0.08290658527388123,0.027972871478226496,0.004813221743003818
DC,AIAN,0.009661885833833664,3.059557016391601e-4,0.008663983603217296,0
DC,White,0.4182853561067629,0.040964172869798615,0.0027896864997397075,9.375428920943563e-5
DE,AIAN,0.05480647149905116,0.010563007665522248,9.925558312654514e-4,0
DE,White,0.46759492223432486,0.0723588833442941,0.024315325959225337,0.004941040204739511
FL,AIAN,0.14136758341942357,0.014255713904911232,0.01802278740360745,0.002686594659166111
FL,White,0.5714348046309234,0.06679030011350352,0.06210203455475331,0.014833837097875974
HI,AIAN,0.12183480595020911,0.04080461934293843,0.035945579405339864,0.004160401417897877
HI,White,0.18844640705665572,0.06719354768381088,0.05867620932570876,0.005212964698421085
IA,AIAN,0.4158843935729438,0.17846843248412933,0.13440570082340342,0.02937178732124973
IA,White,0.3887726999629916,0.12791107334287105,0.0696597780409562,0.013874520142561159
ID,AIAN,0.18176108212577793,0.04084265569790203,0.040570601739700785,0.00882548362534935
ID,White,0.3351947185308618,0.06363470271960335,0.046502704867762645,0.006554266388413527
IL,AIAN,0.08146902813814925,0.0178580141903998,0.007471410730168923,0.0014652012564083522
IL,White,0.41551566017950703,0.10153789176507536,0.024681113794928974,0.0048561026825403725
IN,AIAN,0.29840217739566194,0.06511723883910074,0.04099373999181942,0.00384980316185099
IN,White,0.6315149132951361,0.1772043301318577,0.09680949800022193,0.008062327174940792
KS,AIAN,0.2349969420866349,0.03975756627867684,0.08740688824089914,0.014866075444899374
KS,White,0.3764931498029322,0.057739560404941645,0.08051401973984065,0.013619340524546608
KY,AIAN,0.24475905063102912,0.06699270792164212,0.027139913483324327,0.0025337229054177846
KY,White,0.5883617071797973,0.20753520282437526,0.07887377399326087,0.009060490729943083
LA,AIAN,0.07311678017906184,0.01913575412156529,0.011012401649243012,0.0010239251163079721
LA,White,0.29962319879064264,0.11441405114211234,0.04962937281517202,0.008582595660241277
MA,AIAN,0.3813643886430672,0.1459660806687249,0.0666752083898547,0.014810244606784775
MA,White,0.39523351508740645,0.14699473583553527,0.04648211277338121,0.00587550636256759
MD,AIAN,0.04351146644519846,0.009389997801405536,0.0035487837452853055,2.74093867498007e-4
MD,White,0.24648531929308487,0.054950604235671205,0.018302455265241255,0.00219121328175835
ME,AIAN,0.4877145455416583,0.1562746079905067,0.0736303551926879,0.015016461631859365
ME,White,0.4213232444863818,0.13929759716183365,0.050098085266071804,0.01512449645939197
MI,AIAN,0.404756327551572,0.10754535635396167,0.05338865861911793,0.013944835530848895
MI,White,0.5006705509494198,0.1330780715158909,0.03543777710633714,0.010954357740825926
