.imp,age,race_ethn,year,var,pop
0,0,AI/AN,2001,20,57488
0,0,AI/AN,2002,1163,57852
0,0,AI/AN,2003,2810,59984
0,0,AI/AN,2004,3164,61748
0,0,AI/AN,2005,3837,64831
0,0,AI/AN,2006,4015,67569
0,0,AI/AN,2007,4366,73439
0,0,AI/AN,2008,4491,77636
0,0,AI/AN,2009,4378,77503
0,0,AI/AN,2010,4611,77301
0,0,AI/AN,2011,4710,75655
0,0,AI/AN,2012,4842,77374
0,0,AI/AN,2013,5130,76341
0,0,AI/AN,2014,5429,76985
0,0,AI/AN,2015,5800,76606
0,0,AI/AN,2016,6028,76508
0,0,AI/AN,2017,3618,76351
0,0,Asian/PI,2001,10,194002
0,0,Asian/PI,2002,601,194035
0,0,Asian/PI,2003,1962,205463
0,0,Asian/PI,2004,1999,211877
0,0,Asian/PI,2005,2257,216526
0,0,Asian/PI,2006,2311,217976
0,0,Asian/PI,2007,2394,228248
0,0,Asian/PI,2008,2630,237317
0,0,Asian/PI,2009,2566,230615
0,0,Asian/PI,2010,2525,225912
0,0,Asian/PI,2011,2557,220381
0,0,Asian/PI,2012,2781,227262
0,0,Asian/PI,2013,2839,239465
0,0,Asian/PI,2014,3010,239770
0,0,Asian/PI,2015,3153,250980
0,0,Asian/PI,2016,3253,246177
0,0,Asian/PI,2017,2192,247551
0,0,Black,2000,1,622417
0,0,Black,2001,366,643336
0,0,Black,2002,11081,625877
0,0,Black,2003,29109,619402
0,0,Black,2004,31717,631136
0,0,Black,2005,35947,647278
0,0,Black,2006,42274,663764
0,0,Black,2007,48606,695745
0,0,Black,2008,55551,696946
0,0,Black,2009,54900,683772
0,0,Black,2010,55406,670157
0,0,Black,2011,55363,670857
0,0,Black,2012,56933,669168
0,0,Black,2013,61844,671681
0,0,Black,2014,64546,678361
0,0,Black,2015,69395,682683
0,0,Black,2016,77349,678432
0,0,Black,2017,49304,676082
0,0,Hispanic,2001,219,801488
0,0,Hispanic,2002,5008,820888
0,0,Hispanic,2003,20372,840045
0,0,Hispanic,2004,22254,858324
0,0,Hispanic,2005,27470,873526
0,0,Hispanic,2006,34923,902397
0,0,Hispanic,2007,36902,941626
0,0,Hispanic,2008,39378,938820
0,0,Hispanic,2009,38347,905476
0,0,Hispanic,2010,38279,896006
0,0,Hispanic,2011,37205,913501
0,0,Hispanic,2012,36747,884943
0,0,Hispanic,2013,37910,880677
0,0,Hispanic,2014,40212,885824
0,0,Hispanic,2015,41727,900227
0,0,Hispanic,2016,43552,907133
0,0,Hispanic,2017,26797,899600
0,0,White,2000,1,2278263
0,0,White,2001,390,2316344
0,0,White,2002,18582,2252809
0,0,White,2003,52727,2250977
0,0,White,2004,57110,2251173
0,0,White,2005,65306,2202232
0,0,White,2006,74080,2190032
0,0,White,2007,78821,2208939
0,0,White,2008,87087,2182016
0,0,White,2009,86464,2106221
0,0,White,2010,86269,2082078
0,0,White,2011,83267,2082577
0,0,White,2012,86473,2067739
0,0,White,2013,94347,2063044
0,0,White,2014,97649,2073785
0,0,White,2015,103369,2073798
0,0,White,2016,111155,2047127
0,0,White,2017,68153,2039711
0,0,NA,2001,53,NA
0,0,NA,2002,7912,NA
0,0,NA,2003,12690,NA
0,0,NA,2004,13507,NA
0,0,NA,2005,14807,NA
0,0,NA,2006,16344,NA
0,0,NA,2007,19544,NA
0,0,NA,2008,23063,NA
0,0,NA,2009,25867,NA
0,0,NA,2010,24524,NA
