.imp,age,race_ethn,year,var,pop
0,0,AI/AN,2001,4,57488
0,0,AI/AN,2002,643,57852
0,0,AI/AN,2003,1295,59984
0,0,AI/AN,2004,1383,61748
0,0,AI/AN,2005,1787,64831
0,0,AI/AN,2006,1773,67569
0,0,AI/AN,2007,1880,73439
0,0,AI/AN,2008,1782,77636
0,0,AI/AN,2009,1664,77503
0,0,AI/AN,2010,1799,77301
0,0,AI/AN,2011,1800,75655
0,0,AI/AN,2012,1964,77374
0,0,AI/AN,2013,2229,76341
0,0,AI/AN,2014,2329,76985
0,0,AI/AN,2015,2477,76606
0,0,AI/AN,2016,2723,76508
0,0,AI/AN,2017,1693,76351
0,0,Asian/PI,2001,3,194002
0,0,Asian/PI,2002,368,194035
0,0,Asian/PI,2003,953,205463
0,0,Asian/PI,2004,1022,211877
0,0,Asian/PI,2005,1056,216526
0,0,Asian/PI,2006,1046,217976
0,0,Asian/PI,2007,1043,228248
0,0,Asian/PI,2008,994,237317
0,0,Asian/PI,2009,989,230615
0,0,Asian/PI,2010,946,225912
0,0,Asian/PI,2011,949,220381
0,0,Asian/PI,2012,973,227262
0,0,Asian/PI,2013,1041,239465
0,0,Asian/PI,2014,1165,239770
0,0,Asian/PI,2015,1118,250980
0,0,Asian/PI,2016,1157,246177
0,0,Asian/PI,2017,760,247551
0,0,Black,2001,192,643336
0,0,Black,2002,6749,625877
0,0,Black,2003,16324,619402
0,0,Black,2004,16256,631136
0,0,Black,2005,18046,647278
0,0,Black,2006,19609,663764
0,0,Black,2007,20048,695745
0,0,Black,2008,20800,696946
0,0,Black,2009,20491,683772
0,0,Black,2010,20717,670157
0,0,Black,2011,20759,670857
0,0,Black,2012,21731,669168
0,0,Black,2013,23815,671681
0,0,Black,2014,24390,678361
0,0,Black,2015,25011,682683
0,0,Black,2016,27357,678432
0,0,Black,2017,17558,676082
0,0,Hispanic,2001,112,801488
0,0,Hispanic,2002,3593,820888
0,0,Hispanic,2003,9016,840045
0,0,Hispanic,2004,10064,858324
0,0,Hispanic,2005,11750,873526
0,0,Hispanic,2006,14209,902397
0,0,Hispanic,2007,13938,941626
0,0,Hispanic,2008,13886,938820
0,0,Hispanic,2009,13604,905476
0,0,Hispanic,2010,14220,896006
0,0,Hispanic,2011,13885,913501
0,0,Hispanic,2012,14354,884943
0,0,Hispanic,2013,15341,880677
0,0,Hispanic,2014,16351,885824
0,0,Hispanic,2015,16037,900227
0,0,Hispanic,2016,16515,907133
0,0,Hispanic,2017,10211,899600
0,0,White,2000,1,2278263
0,0,White,2001,208,2316344
0,0,White,2002,9722,2252809
0,0,White,2003,24791,2250977
0,0,White,2004,25350,2251173
0,0,White,2005,28737,2202232
0,0,White,2006,30767,2190032
0,0,White,2007,29270,2208939
0,0,White,2008,29569,2182016
0,0,White,2009,29373,2106221
0,0,White,2010,30048,2082078
0,0,White,2011,29205,2082577
0,0,White,2012,31222,2067739
0,0,White,2013,35286,2063044
0,0,White,2014,36809,2073785
0,0,White,2015,38441,2073798
0,0,White,2016,40842,2047127
0,0,White,2017,25820,2039711
0,0,NA,2001,12,NA
0,0,NA,2002,2942,NA
0,0,NA,2003,3674,NA
0,0,NA,2004,3782,NA
0,0,NA,2005,4243,NA
0,0,NA,2006,4661,NA
0,0,NA,2007,5213,NA
0,0,NA,2008,5945,NA
0,0,NA,2009,6516,NA
0,0,NA,2010,6261,NA
0,0,NA,2011,7764,NA
0,0,NA,2012,8065,NA
0,0,NA,2013,7041,NA
0,0,NA,2014,9289,NA
0,0,NA,2015,9227,NA
0,0,NA,2016,5950,NA
0,0,NA,2017,3626,NA
0,1,AI/AN,2001,4,55012
0,1,AI/AN,2002,366,57596
0,1,AI/AN,2003,649,57898
0,1,AI/AN,2004,681,59956
0,1,AI/AN,2005,901,61659
0,1,AI/AN,2006,833,64676
0,1,AI/AN,2007,903,67204
0,1,AI/AN,2008,900,73041
0,1,AI/AN,2009,869,77079
0,1,AI/AN,2010,951,76991
0,1,AI/AN,2011,944,77368
0,1,AI/AN,2012,931,75665
0,1,AI/AN,2013,998,77434
0,1,AI/AN,2014,1016,76355
0,1,AI/AN,2015,1103,76991
0,1,AI/AN,2016,1141,76634
0,1,AI/AN,2017,641,76541
0,1,Asian/PI,2001,3,179316
0,1,Asian/PI,2002,268,199452
0,1,Asian/PI,2003,514,198411
0,1,Asian/PI,2004,529,208507
0,1,Asian/PI,2005,523,214483
0,1,Asian/PI,2006,546,218615
0,1,Asian/PI,2007,489,218762
0,1,Asian/PI,2008,552,227919
0,1,Asian/PI,2009,565,235500
0,1,Asian/PI,2010,565,229007
0,1,Asian/PI,2011,475,233351
0,1,Asian/PI,2012,487,227844
0,1,Asian/PI,2013,548,235354
0,1,Asian/PI,2014,546,248048
0,1,Asian/PI,2015,498,248684
0,1,Asian/PI,2016,558,260339
0,1,Asian/PI,2017,359,255569
0,1,Black,2000,2,614868
0,1,Black,2001,119,620732
0,1,Black,2002,3515,641683
0,1,Black,2003,7997,624188
0,1,Black,2004,7577,617670
0,1,Black,2005,8501,629728
0,1,Black,2006,9269,644995
0,1,Black,2007,9085,661120
0,1,Black,2008,9544,692675
0,1,Black,2009,9656,693755
0,1,Black,2010,9393,674894
0,1,Black,2011,9343,671498
0,1,Black,2012,9293,672414
0,1,Black,2013,9835,671155
0,1,Black,2014,10457,673882
0,1,Black,2015,10148,680660
0,1,Black,2016,10585,685141
0,1,Black,2017,6558,680943
0,1,Hispanic,2001,67,733260
0,1,Hispanic,2002,2223,803132
0,1,Hispanic,2003,5250,818346
0,1,Hispanic,2004,5431,833685
0,1,Hispanic,2005,6510,849671
